maritime_area,registration_number,imo_number,ship_name,callsign,mmsi,shiptype,length,tonnage,tonnage_unit,materiel_onboard,atis_code,radio_license_status,date_first_license,date_inactivity_license
SM,B39819G,,BLEU LEZARD,FOBE,227340300,PLEASURE CRAFT,11,14,UMS,VHF - AIS - VHF PORTATIVE - BLU,,ACTIVE,10/05/2001,
GV,898409G,,BARA AN TY,FOBF,227143900,FISHING,23.5,109.32,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,10/05/2001,
SN,916002E,,CINTHARTH,FOBG,228137900,FISHING,23.3,168.25,UMS,VHF - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X),,ACTIVE,16/05/2001,
RO,920339U,,RUBY,FGA3785,227008830,BULK,24.5,142.97,TX,VHF - AIS - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - DIVERS,,ACTIVE,04/10/2000,
GV,898403A,,BUCCIN,FIJK,226177000,FISHING,22.85,118.95,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,11/10/2000,
LO,911288F,,JULIEN COLEOU,FHEV,226158000,FISHING,30,260,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,21/07/2000,
LO,922633M,,TXIMISTARRI II,FHFN,227142200,FISHING,15.9,41.56,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,24/07/2000,
GV,898402Z,,FACE A LA MER,FGA3236,227315190,FISHING,14.98,40.35,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,26/07/2000,
GV,804691P,,L AR VOALEDEN,FIMJ,226178000,FISHING,22,106,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,11/10/2000,
GV,898417R,,L'HORIZON,FIOM,226179000,FISHING,21.12,180.18,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - SATELLITE M - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,11/10/2000,
LO,899899B,,ALICE PAUL II,FQDT,228153900,FISHING,14,32,UMS,VHF - VHF ASN - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD),,ACTIVE,08/08/2002,
LR,914775W,,FORT BOYARD,FGA6174,227009750,BULK,41.27,472,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,13/03/2002,
SN,X00056,,TEST CHANTIERS ATLANTIQUE 2,FQBX,228140600,OTHER,,,UMS,VHF ASN - BALISE COSPAS S.  EPIRB - BLU ASN - SATELLITE STANDARD C - SART (REPONDEUR RAD),,ACTIVE,18/03/2002,
MX,905646Y,,ETOILE DU BERGER 2,FONU,227144300,FISHING,20.5,85,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,25/06/2001,
GV,898426A,,ITASCA,FOOC,227144500,FISHING,22,140.66,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - RADAR 9 PAN (BANDE X) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,27/06/2001,
SM,B72504J,,PASSAGER DU VENT II,FGA7508,227536540,PLEASURE CRAFT,9.5,9.36,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB,,ACTIVE,27/06/2002,
LO,899898A,,LE BELIER,FOUS,227145200,FISHING,16.5,54.45,TX,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,28/09/2001,
RO,920574Z,,SAMUEL DE CHAMPLAIN,FQCF,228160900,BULK,117,8072,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE ASN - VHF PORTATIVE - VHF - UHF - BALISE COSPAS S.  EPIRB - BLU ASN - LRIT - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX,,ACTIVE,09/04/2002,
LS,919770A,,STANYTOM,FGA5719,227316320,FISHING,13.1,19,TX,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X),,ACTIVE,16/10/2001,
RO,903970B,,RM MOULIS,FGA6536,227009990,BULK,29,242,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - RADAR 9 PAN (BANDE X) - RECEPTEUR NAVTEX,,ACTIVE,16/04/2002,
SN,916032M,,ST GERMAIN,FGA5123,227009430,BULK,75,1155,UMS,VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD),,INACTIVE,17/07/2001,10/02/2016
GV,898416P,,BARA LODENN,FPFS,227145700,FISHING,23.5,110,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,07/12/2001,
BA,922635P,,NATHALIE CHANTAL 2,FQDI,228151700,FISHING,20.5,131,UMS,VHF - VHF ASN - AIS - VHF PORTATIVE - BALISE COSPAS S.  EPIRB - BLU - SATELLITE STANDARD C - RADAR 9 PAN (BANDE X) - SART (REPONDEUR RAD) - RECEPTEUR NAVTEX - DIVERS,,ACTIVE,17/07/2002,
